Perturbation	Cell Count	Rank	geneName
201218_RNA	1108	1	KLF2
screen-matrices	439	2	KLF2
210322_TFAtlas	355	3	KLF2
screen-repool-matrices	26	4	KLF2
K562_GW	153	1	HMG20B
210322_TFAtlas	124	2	HMG20B
sciPlex3_MCF7_0.01μM	448	1	Thiotepa
sciPlex3_MCF7_0.1μM	334	2	Thiotepa
sciPlex3_MCF7_1μM	324	3	Thiotepa
sciPlex3_K562_10μM	302	4	Thiotepa
sciPlex3_MCF7_10μM	297	5	Thiotepa
sciPlex3_K562_0.1μM	284	6	Thiotepa
sciPlex3_K562_1μM	278	7	Thiotepa
sciPlex3_K562_0.01μM	250	8	Thiotepa
sciPlex3_A549_0.1μM	155	9	Thiotepa
sciPlex3_A549_0.01μM	147	10	Thiotepa
sciPlex3_A549_10μM	105	11	Thiotepa
sciPlex3_A549_1μM	50	12	Thiotepa
UPR_Perturb_seq	158	1	COPB1
K562_essential	65	2	COPB1
K562_GW	64	3	COPB1
RPE1_essential	21	4	COPB1
exp7	996	1	MRPL17
K562_GW	118	2	MRPL17
RPE1_essential	96	3	MRPL17
K562_essential	65	4	MRPL17
exp6	352	1	MVD
K562_essential	93	2	MVD
K562_GW	90	3	MVD
RPE1_essential	55	4	MVD
Jurkat_TCR	32	5	MVD
sciPlex3_MCF7_0.1μM	158	1	Patupilone
sciPlex3_MCF7_0.01μM	149	2	Patupilone
sciPlex3_MCF7_1μM	139	3	Patupilone
sciPlex3_A549_1μM	137	4	Patupilone
sciPlex3_MCF7_10μM	119	5	Patupilone
sciPlex3_A549_10μM	107	6	Patupilone
sciPlex3_K562_1μM	97	7	Patupilone
sciPlex3_K562_10μM	88	8	Patupilone
sciPlex3_K562_0.01μM	70	9	Patupilone
sciPlex3_A549_0.01μM	68	10	Patupilone
sciPlex3_K562_0.1μM	66	11	Patupilone
sciPlex3_A549_0.1μM	53	12	Patupilone
210322_TFAtlas	785	1	BNIP3
K562_GW	112	2	BNIP3
RPE1_essential	335	1	HSD17B12
UPR_Perturb_seq	205	2	HSD17B12
K562_GW	123	3	HSD17B12
K562_essential	70	4	HSD17B12
201218_RNA	329	1	NFIX
210322_TFAtlas	59	2	NFIX
201218_RNA	1108	1	KLF2
screen-matrices	439	2	KLF2
210322_TFAtlas	355	3	KLF2
screen-repool-matrices	26	4	KLF2
K562_GW	153	1	HMG20B
210322_TFAtlas	124	2	HMG20B
sciPlex3_MCF7_0.01μM	448	1	Thiotepa
sciPlex3_MCF7_0.1μM	334	2	Thiotepa
sciPlex3_MCF7_1μM	324	3	Thiotepa
sciPlex3_K562_10μM	302	4	Thiotepa
sciPlex3_MCF7_10μM	297	5	Thiotepa
sciPlex3_K562_0.1μM	284	6	Thiotepa
sciPlex3_K562_1μM	278	7	Thiotepa
sciPlex3_K562_0.01μM	250	8	Thiotepa
sciPlex3_A549_0.1μM	155	9	Thiotepa
sciPlex3_A549_0.01μM	147	10	Thiotepa
sciPlex3_A549_10μM	105	11	Thiotepa
sciPlex3_A549_1μM	50	12	Thiotepa
UPR_Perturb_seq	158	1	COPB1
K562_essential	65	2	COPB1
K562_GW	64	3	COPB1
RPE1_essential	21	4	COPB1
exp7	996	1	MRPL17
K562_GW	118	2	MRPL17
RPE1_essential	96	3	MRPL17
K562_essential	65	4	MRPL17
exp6	352	1	MVD
K562_essential	93	2	MVD
K562_GW	90	3	MVD
RPE1_essential	55	4	MVD
Jurkat_TCR	32	5	MVD
sciPlex3_MCF7_0.1μM	158	1	Patupilone
sciPlex3_MCF7_0.01μM	149	2	Patupilone
sciPlex3_MCF7_1μM	139	3	Patupilone
sciPlex3_A549_1μM	137	4	Patupilone
sciPlex3_MCF7_10μM	119	5	Patupilone
sciPlex3_A549_10μM	107	6	Patupilone
sciPlex3_K562_1μM	97	7	Patupilone
sciPlex3_K562_10μM	88	8	Patupilone
sciPlex3_K562_0.01μM	70	9	Patupilone
sciPlex3_A549_0.01μM	68	10	Patupilone
sciPlex3_K562_0.1μM	66	11	Patupilone
sciPlex3_A549_0.1μM	53	12	Patupilone
210322_TFAtlas	785	1	BNIP3
K562_GW	112	2	BNIP3
RPE1_essential	335	1	HSD17B12
UPR_Perturb_seq	205	2	HSD17B12
K562_GW	123	3	HSD17B12
K562_essential	70	4	HSD17B12
201218_RNA	329	1	NFIX
210322_TFAtlas	59	2	NFIX
K562_GW	187	1	ZBTB43
210322_TFAtlas	72	2	ZBTB43
Perturb-CITE-seq	146	1	RRS1
K562_essential	66	2	RRS1
RPE1_essential	60	3	RRS1
K562_GW	57	4	RRS1
K562_GW	114	1	LRPPRC
K562_essential	99	2	LRPPRC
CRISPRi	92	3	LRPPRC
RPE1_essential	77	4	LRPPRC
sciPlex3_MCF7_0.1μM	508	1	Enzastaurin
sciPlex3_MCF7_1μM	488	2	Enzastaurin
sciPlex3_MCF7_0.01μM	438	3	Enzastaurin
sciPlex3_MCF7_10μM	405	4	Enzastaurin
sciPlex3_K562_1μM	292	5	Enzastaurin
sciPlex3_K562_0.1μM	247	6	Enzastaurin
sciPlex3_A549_0.01μM	228	7	Enzastaurin
sciPlex3_K562_0.01μM	224	8	Enzastaurin
sciPlex3_A549_0.1μM	152	9	Enzastaurin
sciPlex3_A549_10μM	145	10	Enzastaurin
sciPlex3_K562_10μM	133	11	Enzastaurin
sciPlex3_A549_1μM	103	12	Enzastaurin
D2S	455	1	BTLA
D1S	362	2	BTLA
invitro_TGFB	340	3	BTLA
D1N	310	4	BTLA
D2N	278	5	BTLA
invitro_Stim	268	6	BTLA
invivo	106	7	BTLA
RPE1_essential	1542	1	TARDBP
K562_GW	316	2	TARDBP
K562_essential	92	3	TARDBP
CRISPRi	43	4	TARDBP
sciPlex3_MCF7_0.01μM	587	1	Entacapone
sciPlex3_MCF7_1μM	556	2	Entacapone
sciPlex3_MCF7_0.1μM	549	3	Entacapone
sciPlex3_MCF7_10μM	524	4	Entacapone
sciPlex3_K562_0.01μM	261	5	Entacapone
sciPlex3_A549_0.01μM	247	6	Entacapone
sciPlex3_K562_10μM	247	7	Entacapone
sciPlex3_A549_1μM	243	8	Entacapone
sciPlex3_K562_1μM	235	9	Entacapone
sciPlex3_K562_0.1μM	229	10	Entacapone
sciPlex3_A549_0.1μM	166	11	Entacapone
sciPlex3_A549_10μM	120	12	Entacapone
K562_GW	328	1	PLAGL1
210322_TFAtlas	262	2	PLAGL1
K562_GW	320	1	PTMA
Perturb-CITE-seq	286	2	PTMA
RPE1_essential	179	3	PTMA
K562_essential	146	4	PTMA
pilot_14	801	1	OTX2
210322_TFAtlas	468	2	OTX2
PRJNA524331	213	3	OTX2
extend_61	88	4	OTX2
K562_GW	224	1	FOXM1
210322_TFAtlas	148	2	FOXM1
PRJNA524331	137	3	FOXM1
Perturb-CITE-seq	93	4	FOXM1
210322_TFAtlas	267	1	FOXP4
K562_GW	239	2	FOXP4
D2S	267	1	LAG3
D1S	231	2	LAG3
D1N	188	3	LAG3
D2N	150	4	LAG3
exp8	1042	1	NPM1
exp7	459	2	NPM1
K562_GW	76	3	NPM1
RPE1_essential	40	4	NPM1
210322_TFAtlas	5220	1	PDCD2
K562_GW	97	2	PDCD2
K562_essential	64	3	PDCD2
RPE1_essential	27	4	PDCD2
exp7	1341	1	EEF1B2
RPE1_essential	87	2	EEF1B2
K562_GW	60	3	EEF1B2
K562_essential	32	4	EEF1B2
Jurkat_TCR	127	1	NFATC2
210322_TFAtlas	103	2	NFATC2
exp7	387	1	TUBB
RPE1_essential	256	2	TUBB
K562_GW	140	3	TUBB
K562_essential	107	4	TUBB
210322_TFAtlas	594	1	CDK7
K562_GW	27	2	CDK7
210322_TFAtlas	273	1	SUB1
K562_GW	198	2	SUB1
sciPlex3_MCF7_0.01μM	563	1	Tacedinaline
sciPlex3_MCF7_1μM	368	2	Tacedinaline
sciPlex3_MCF7_10μM	304	3	Tacedinaline
sciPlex3_MCF7_0.1μM	300	4	Tacedinaline
sciPlex3_K562_0.01μM	276	5	Tacedinaline
sciPlex3_K562_1μM	244	6	Tacedinaline
sciPlex3_K562_0.1μM	214	7	Tacedinaline
sciPlex3_A549_10μM	193	8	Tacedinaline
sciPlex3_A549_1μM	165	9	Tacedinaline
sciPlex3_K562_10μM	130	10	Tacedinaline
sciPlex3_A549_0.1μM	97	11	Tacedinaline
sciPlex3_A549_0.01μM	86	12	Tacedinaline
exp7	404	1	BTF3
RPE1_essential	95	2	BTF3
K562_GW	76	3	BTF3
K562_essential	61	4	BTF3
exp6	716	1	ETAA1
K562_GW	169	2	ETAA1
exp10	131	3	ETAA1
exp9	103	4	ETAA1
210322_TFAtlas	369	1	TCF12
K562_GW	247	2	TCF12
REDESIGN	1516	1	RIPK2
WTX_DIFFEX	1016	2	RIPK2
TAP_DIFFEX	743	3	RIPK2
L1000	702	4	RIPK2
K562_GW	205	5	RIPK2
sciPlex3_MCF7_10μM	531	1	Droxinostat
sciPlex3_MCF7_0.1μM	514	2	Droxinostat
sciPlex3_MCF7_0.01μM	490	3	Droxinostat
sciPlex3_MCF7_1μM	477	4	Droxinostat
sciPlex3_A549_0.01μM	283	5	Droxinostat
sciPlex3_A549_0.1μM	276	6	Droxinostat
sciPlex3_K562_1μM	260	7	Droxinostat
sciPlex3_A549_1μM	256	8	Droxinostat
sciPlex3_A549_10μM	242	9	Droxinostat
sciPlex3_K562_0.01μM	235	10	Droxinostat
sciPlex3_K562_0.1μM	235	11	Droxinostat
sciPlex3_K562_10μM	201	12	Droxinostat
sciPlex3_MCF7_0.01μM	614	1	Tranylcypromine-2-PCPA-HCl
